3.65,7.75
2.56,6.19
3.58,4.27
4.56,7.82
3.03,7.36
3.88,6.06
3.64,5.45
4.54,6.92
3.15,5.52
4.84,8.89
4.91,8.00
4.78,6.62
3.62,7.70
3.10,5.38
5.90,9.06
3.59,7.17
4.88,6.70
4.45,7.25
4.28,8.11
4.70,7.83
4.56,7.58
2.96,4.61
4.25,7.67
5.13,10.90
4.39,7.53
3.56,7.61
4.40,4.78
4.59,7.97
4.60,5.51
4.03,6.13
3.80,6.86
4.24,6.88
4.29,7.39
3.67,5.91
3.54,7.89
3.90,5.64
3.50,4.01
4.19,8.41
4.40,4.93
3.37,7.84
4.19,4.15
5.06,8.48
5.01,7.87
2.73,5.86
4.04,9.38
5.27,8.23
5.46,7.07
3.17,7.38
4.64,7.11
3.60,7.75
3.69,8.31
4.32,7.07
4.94,7.66
3.07,6.58
2.92,6.95
5.10,7.12
2.71,3.73
4.69,7.07
4.01,7.10
4.53,6.27
4.52,5.41
2.98,4.10
3.91,7.10
3.59,5.58
4.23,5.18
4.56,5.85
3.08,7.37
3.90,6.32
3.58,5.59
2.55,2.83
4.90,9.14
4.77,6.92
4.27,6.87
4.26,6.14
3.06,7.86
3.59,6.99
3.44,5.92
2.95,7.38
4.38,7.56
4.29,5.24
4.65,7.19
5.30,9.40
5.37,8.07
4.18,7.86
4.08,7.55
4.35,5.98
4.61,9.43
3.83,8.87
4.01,7.96
3.03,6.82
4.19,8.83
3.83,7.76
3.07,4.47
4.28,7.42
4.24,8.27
4.37,8.18
3.80,6.70
4.80,5.07
3.78,3.44
5.32,7.20
